text,author,reply,retweet,like,date,cleaned_text,non_baku
"Susana perhitungan suara.. kodenya..

Kalau 01..  Sory ye.. 
Kalau 02..  Oke Gass.. 
Kalau 03..  Rugi Donk... 

 

#Pilpres2024 #PemiluSerentak2024 #Pemilu2024",My id,0,0,1,2024-02-15T11:56:27.000Z,Susana perhitungan suara.. kodenya..  Kalau 01..  Sory ye..  Kalau 02..  Oke Gass..  Kalau 03..  Rugi Donk...           ,
"KPU Kota Jakarta Selatan bakal membuka kegiatan rekapitulasi surat suara Pemilu 2024 di tingkat kecamatan, malam ini, Kamis (15/2/2024).",Kompas.com,0,0,2,2024-02-15T12:31:12.000Z,"KPU Kota Jakarta Selatan bakal membuka kegiatan rekapitulasi surat suara Pemilu 2024 di tingkat kecamatan, malam ini, Kamis (15/2/2024).",
yakin bakal di gugat pemilu 2024,Bahtiar,0,0,0,2024-02-15T12:24:00.000Z,yakin bakal di gugat pemilu 2024,
"Khofifah dan PWNU Jatim Terlihat Mesra, Petanda Dukungan Maju Pilgub Jawa Timur 2024?
#Pemilu2024 #JawaTimur
#PrabowoGibran #Khofifah",Zona Surabaya Raya,0,0,0,2024-02-15T11:59:41.000Z,"Khofifah dan PWNU Jatim Terlihat Mesra, Petanda Dukungan Maju Pilgub Jawa Timur 2024?        ",
"Sampai tgl 7 Feb, masih kami perjuangkan. Esoknya dikabari nggak bisa jadi DPT tambahan.

Ya sudah, akhirnya kami pulang ke alamat yg terdaftar di DPT.

Saya masih mending lah, pulang ke rumah, temen saya harus ke kediaman mantan istri 

#Pemilu2024",IG: RAJALUBIS_,1,0,0,2024-02-15T11:58:40.000Z,"Sampai tgl 7 Feb, masih kami perjuangkan. Esoknya dikabari nggak bisa jadi DPT tambahan.  Ya sudah, akhirnya kami pulang ke alamat yg terdaftar di DPT.  Saya masih mending lah, pulang ke rumah, temen saya harus ke kediaman mantan istri    ",
Penyelenggara Pemilu 2024 di Ribuan TPS Diintimidasi saat Penghitungan Suara,Sumbarkita.id,0,0,0,2024-02-15T12:30:44.000Z,Penyelenggara Pemilu 2024 di Ribuan TPS Diintimidasi saat Penghitungan Suara,
"Pemilu 2024 Berjalan Damai, GP Ansor Gelar Tasyakuran Kemenangan BangsaIndonesia https://beritasatu.com/bersatu-kawal-pemilu/2799877/pemilu-2024-berjalan-damai-gp-ansor-gelar-tasyakuran-kemenangan-bangsaindonesia?utm_source=dlvr.it&utm_medium=twitter #beritasatu #news #berita",BeritaSatu,2,4,9,2024-02-15T12:11:36.000Z,"Pemilu 2024 Berjalan Damai, GP Ansor Gelar Tasyakuran Kemenangan BangsaIndonesia       ",
"Dalam pidatonya, Gibran @gibran_rakabuming mengatakan bahwa dirinya tiga bulan lalu bukan siapa-siapa. Dia mengaku sering diremehkan dan kerap dikata-katai plonga-plongo.

#bantenhay #gibranrakabumingraka #gibran #pidatogibran #cawapres #pemilu2024",Banten Hay,0,0,0,2024-02-15T12:28:29.000Z,"Dalam pidatonya, Gibran   mengatakan bahwa dirinya tiga bulan lalu bukan siapa-siapa. Dia mengaku sering diremehkan dan kerap dikata-katai plonga-plongo.             ",
"Pemilu 2024 TPS Khusus Rutan Kelas IIB Sukadana

#kabarkumhamlampung
#kumhamlampung
#kanwilkemenkumhamlampung
#sortadelimatobing",Rutan Sukadana,0,0,0,2024-02-15T12:24:52.000Z,Pemilu 2024 TPS Khusus Rutan Kelas IIB Sukadana         ,
"Jangan sedih jangan gundah, ""Pak PUR"" solusinya. 

#calegstres #Pemilu2024",ᴄᴀɴᴅᴜ`,0,0,0,2024-02-15T12:06:42.000Z,"Jangan sedih jangan gundah, ""Pak PUR"" solusinya.      ",
